song_name,time,album_name,genre,release_date,album_artist,,,
The Greatest (feat. Kendrick Lamar),3:30,This Is Acting (Deluxe Version),Pop,1/29/2016,Sia,,,
I've Told You Now,3:30,In the Lonely Hour,Pop,5/26/2014,Sam Smith,,,
Big Girls Cry,3:31,1000 Forms of Fear,Pop,6/25/2014,Sia,,,
"Zero (From the Original Motion Picture ""Ralph Breaks The Internet"")",3:31,"Zero (From the Original Motion Picture ""Ralph Breaks The Internet"") - Single",Alternative,9/19/2018,Imagine Dragons,,,
Stereo Hearts (feat. Adam Levine),3:31,The Papercut Chronicles II,Pop,6/14/2011,Gym Class Heroes,,,
Saturday Nights REMIX,3:31,Saturday Nights REMIX - Single,R&B/Soul,1/11/2019,Khalid & Kane Brown,,,
Nobody's Love,3:31,Nobody's Love - Single,Pop,7/24/2020,Maroon 5,,,
In My Blood,3:31,Shawn Mendes,Pop,3/22/2018,Shawn Mendes,,,
Happy Now (feat. Sandro Cavazza),3:31,Happy Now (feat. Sandro Cavazza) - Single,Dance,10/26/2018,Kygo,,,
7 Minutes,3:31,7 Minutes - Single,Singer/Songwriter,1/18/2019,Dean Lewis,,,
Hollow,3:32,Unbreakable Smile,Pop,6/23/2015,Tori Kelly,,,
Get Busy,3:32,Dutty Rock,Pop,11/12/2002,Sean Paul,,,
Drunk Me,3:32,Telling All My Secrets,Country,10/10/2018,Mitchell Tenpenny,,,
Die Young,3:32,Warrior (Expanded Edition),Pop,9/25/2012,Kesha,,,
INDUSTRY BABY,3:32,INDUSTRY BABY - Single,Hip-Hop/Rap,7/23/2021,Lil Nas X & Jack Harlow,,,
That Old Truck,3:32,Center Point Road,Country,4/5/2019,Thomas Rhett,,,
Blue Tacoma,3:32,Yours,Country,10/13/2017,Russell Dickerson,,,
Holy (feat. Chance the Rapper),3:32,Holy (feat. Chance the Rapper) - Single,Pop,9/18/2020,Justin Bieber,,,
Diamonds,3:32,Love Goes,Pop,9/19/2020,Sam Smith,,,
Take Back Home Girl (feat. Tori Kelly),3:32,Laps Around the Sun,Country,9/29/2017,Chris Lane,,,
Let You Down,3:32,Perception,Hip Hop/Rap,10/6/2017,NF,,,
Falling like the Stars,3:32,YOU,Pop,5/10/2019,James Arthur,,,
1000 Nights (feat. Meek Mill & A Boogie wit da Hoodie),3:32,No.6 Collaborations Project,Pop,7/12/2019,Ed Sheeran,,,
Never Forget You,3:33,So Good,Pop,3/17/2017,Zara Larsson,,,
"Forever and Ever, Amen",3:33,I Told You So - The Ultimate Hits of Randy Travis,Country,4/4/1987,Randy Travis,,,
You're Beautiful,3:33,Back To Bedlam,Pop,10/11/2004,James Blunt,,,
Intentions (feat. Quavo),3:33,Changes,Pop,2/7/2020,Justin Bieber,,,
Cooler Than Me (Single Mix),3:33,31 Minutes to Takeoff,Pop,4/16/2010,Mike Posner,,,
Lotus Flower Bomb (feat. Miguel),3:33,Ambition (Deluxe Version),Hip Hop/Rap,10/11/2011,Wale,,,
Promises,3:33,Promises - Single,Dance,8/17/2018,"Calvin Harris, Sam Smith",,,
Can't Feel My Face,3:34,Beauty Behind the Madness,R&B/Soul,6/8/2015,The Weeknd,,,
Uncover,3:34,Uncover - EP,Pop,1/1/2013,Zara Larsson,,,
What Hurts the Most,3:34,Me and My Gang (Bonus Track Version),Country,1/9/2006,Rascal Flatts,,,
Blessed,3:34,Center Point Road,Country,5/31/2019,Thomas Rhett,,,
Don't Wanna Know (feat. Kendrick Lamar),3:34,Red Pill Blues (Deluxe),Pop,10/11/2016,Maroon 5,,,
Happier,3:34,Happier - Single,Dance,1/11/2018,Marshmello & Bastille,,,
Girls Like You,3:34,Red Pill Blues (Deluxe),Pop,11/3/2017,Maroon 5,,,
Ride,3:35,Blurryface,Alternative,5/12/2015,twenty one pilots,,,
Life of the Party,3:35,Handwritten (Revisited),Pop,6/26/2014,Shawn Mendes,,,
RITMO (Bad Boys For Life),3:35,TRANSLATION,Pop,10/11/2019,Black Eyed Peas,,,
Circles,3:35,Hollywood's Bleeding,Hip-Hop/Rap,8/31/2019,Post Malone,,,
King,3:35,Communion (Deluxe),Electronic,2/27/2015,Years & Years,,,
Jackie Chan (feat. Preme & Post Malone),3:36,Summer Feelin,Dance,1/11/2018,Various Artists,,,
Good Directions,3:36,Doin' Somethin' Right,Country,10/18/2005,Billy Currington,,,
Still Into You,3:36,Paramore,Alternative,3/14/2013,Paramore,,,
Before You Go,3:36,Divinely Uninspired To a Hellish Extent (Extended Edition),Alternative,11/19/2019,Lewis Capaldi,,,
Chandelier,3:36,1000 Forms of Fear,Pop,3/17/2014,Sia,,,
Ocean (feat. Khalid),3:36,Ocean (feat. Khalid) - Single,Dance,6/15/2018,Martin Garrix,,,
She's Kinda Hot,3:36,Sounds Good Feels Good (Deluxe),Pop,7/17/2015,5 Seconds of Summer,,,
Paranoid (feat. B.o.B),3:37,Beach House,Hip Hop/Rap,9/10/2013,Ty Dolla $ign,,,
More Than My Hometown,3:37,More Than My Hometown - Single,Country,4/17/2020,Morgan Wallen,,,
Freaky Friday (feat. Chris Brown),3:37,Freaky Friday (feat. Chris Brown) - Single,Hip-Hop/Rap,2/27/2018,Lil Dicky,,,
"Hey, Soul Sister",3:37,"Hey, Soul Sister - Single",Pop,8/11/2009,Train,,,
One More I Love You,3:37,One More I Love You - Single,Pop,6/11/2021,Alex Warren,,,
Remind Me to Forget,3:37,Remind Me to Forget - Single,Dance,3/16/2018,Kygo & Miguel,,,
Mrs. Potato Head,3:37,Cry Baby (Deluxe Edition),Alternative,8/14/2015,Melanie Martinez,,,
Call You Mine (feat. Bebe Rexha),3:38,World War Joy,Dance,5/31/2019,The Chainsmokers,,,
Hips Don't Lie (feat. Wyclef Jean),3:38,"Oral Fixation, Vol. 2",Pop,9/25/2005,Shakira,,,
rockstar (feat. 21 Savage),3:38,rockstar (feat. 21 Savage) - Single,Hip Hop/Rap,9/15/2017,Post Malone,,,
Geronimo,3:38,Bombs Away,Pop,2/28/2014,Sheppard,,,
Beautiful Now (feat. Jon Bellion),3:38,True Colors,Dance,5/13/2015,Zedd,,,
Follow Me,3:38,Double Wide,Country,6/13/2000,Uncle Kracker,,,
Bruises,3:38,Bloom - EP,Alternative,3/31/2017,Lewis Capaldi,,,
Temperature,3:39,Dutty Classics Collection,Pop,1/1/2005,Sean Paul,,,
Water Fountain,3:39,Narrated for You,Pop,11/15/2018,Alec Benjamin,,,
Sugar (feat. Francesco Yates),3:39,Sugar,Dance,7/17/2015,Robin Schulz,,,
Birds (feat. Elisa),3:39,Birds (feat. Elisa) - Single,Alternative,6/20/2019,Imagine Dragons,,,
WILD,3:39,Blue Neighbourhood (Deluxe),Pop,6/23/2016,Troye Sivan,,,
I Don't Care,3:40,No.6 Collaborations Project,Pop,5/10/2019,Ed Sheeran,,,
Congratulations (feat. Quavo),3:40,Stoney (Deluxe),Hip Hop/Rap,11/4/2016,Post Malone,,,
Bank Account,3:40,Issa Album,Hip Hop/Rap,7/7/2017,21 Savage,,,
Scared to Be Lonely,3:41,Scared to Be Lonely - Single,Dance,1/27/2017,Martin Garrix & Dua Lipa,,,
Psycho (feat. Ty Dolla $ign),3:41,beerbongs & bentleys,Hip Hop/Rap,2/23/2018,Post Malone,,,
Obsession (feat. Jon Bellion),3:42,Obsession (feat. Jon Bellion) - Single,Pop,3/10/2017,Vice,,,
Call on Me (Ryan Riback Remix),3:42,Call on Me (Remixes) - EP,Dance,9/23/2016,Starley,,,
La La La (feat. Sam Smith),3:42,Hotel Cabana (Deluxe Version),Pop,5/18/2013,Naughty Boy,,,
Paper Rings,3:42,Lover,Pop,8/23/2019,Taylor Swift,,,
Notice,3:43,Center Point Road,Country,5/31/2019,Thomas Rhett,,,
Too Much To Ask,3:43,Flicker (Deluxe),Pop,9/15/2017,Niall Horan,,,
Say It Right,3:43,Loose,Pop,1/1/2006,Nelly Furtado,,,
Your Love,3:43,Play Deep,Pop,11/12/1985,The Outfield,,,
Never Really Over,3:44,Never Really Over - Single,Pop,5/31/2019,Katy Perry,,,
Delirious (Boneless) [feat. Kid Ink],3:44,Neon Future I,Dance,8/23/2013,Steve Aoki,,,
Chocolate,3:44,The 1975 (Deluxe Version),Alternative,3/4/2013,The 1975,,,
I Know What You Did Last Summer,3:44,Handwritten (Revisited),Pop,4/14/2015,Shawn Mendes,,,
Lights Down Low,3:44,Hell's Kitchen Angel,Pop,4/8/2016,MAX,,,
21 Questions (feat. Nate Dogg),3:44,Get Rich or Die Tryin',Hip-Hop/Rap,2/4/2003,50 Cent,,,
Love Runs Out,3:45,Native,Pop,3/25/2013,OneRepublic,,,
Cheap Thrills (feat. Sean Paul),3:45,Cheap Thrills (feat. Sean Paul) - Single,Pop,1/29/2016,Sia,,,
Feathered Indians,3:45,Purgatory,Country,8/4/2017,Tyler Childers,,,
Even Though I'm Leaving,3:45,What You See Is What You Get,Country,9/9/2019,Luke Combs,,,
Only,3:45,The Search,Hip-Hop/Rap,7/26/2019,NF,,,
Do My Thang,3:45,Bangerz (Deluxe Version),Pop,10/4/2013,Miley Cyrus,,,
Make You Miss Me,3:46,Montevallo,Country,10/26/2014,Sam Hunt,,,
Secrets,3:46,Waking Up,Rock,11/17/2009,OneRepublic,,,
Happy For You,3:46,Happy For You - Single,Pop,5/14/2021,Lukas Graham,,,
Night Changes,3:47,FOUR (The Ultimate Edition),Pop,11/17/2014,One Direction,,,
Bless the Broken Road,3:47,Feels Like Today,Country,9/28/2004,Rascal Flatts,,,
Who Do You Love,3:47,World War Joy,Dance,2/7/2019,The Chainsmokers,,,
Polarize,3:47,Blurryface,Alternative,5/17/2015,twenty one pilots,,,
2 On (feat. ScHoolboy Q),3:47,Aquarius,R&B/Soul,1/21/2014,Tinashe,,,
Beautiful Mistakes,3:47,Beautiful Mistakes - Single,Pop,3/3/2021,Maroon 5 & Megan Thee Stallion,,,
Locked Away (feat. Adam Levine),3:47,What Dreams Are Made Of,Pop,6/29/2015,R. City,,,
It Wasn't Me (feat. Ricardo Ducent),3:48,Hot Shot,Pop,8/8/2000,Shaggy,,,
I Won't Let Go,3:48,Nothing Like This,Country,11/16/2010,Rascal Flatts,,,
Would You Go With Me,3:48,Your Man,Country,1/24/2006,Josh Turner,,,
Higher Love,3:48,Higher Love - Single,Pop,6/28/2019,Kygo & Whitney Houston,,,
A Drop In the Ocean,3:48,Daylight,Rock,5/15/2008,Ron Pope,,,
Die a Happy Man,3:48,Tangled Up,Country,9/25/2015,Thomas Rhett,,,
8TEEN,3:49,American Teen,R&B/Soul,3/3/2017,Khalid,,,
Chase You Down,3:49,Chase You Down - EP,Dance,3/25/2016,RUNAGROUND,,,
Bartender Song (aka Sittin' at a Bar) [Alt/Rock Mix],3:49,Graffiti the World,Rock,5/27/2008,Rehab,,,
Same Old Love,3:49,Revival (Deluxe),Pop,9/10/2015,Selena Gomez,,,
Better,3:49,Suncity,R&B/Soul,9/14/2018,Khalid,,,
Time of Our Lives,3:49,Globalization,Pop,11/17/2014,Pitbull,,,
See You Again (feat. Charlie Puth),3:50,Furious 7 (Original Motion Picture Soundtrack),Hip Hop/Rap,3/10/2015,Various Artists,,,
This Is What It Takes,3:50,Handwritten (Revisited),Pop,4/14/2015,Shawn Mendes,,,
Starboy (feat. Daft Punk),3:50,Starboy,R&B/Soul,9/21/2016,The Weeknd,,,
Carousel,3:51,Dollhouse - EP,Alternative,5/19/2014,Melanie Martinez,,,
Time (Edit),3:51,The Search,Hip-Hop/Rap,7/26/2019,NF,,,
The Mess I Made,3:51,Losing Sleep (Bonus Track Version),Rock,5/19/2009,Parachute,,,
Bad Habits,3:51,Bad Habits - Single,Pop,9/3/2020,Ed Sheeran,,,
This Is It,3:51,Seasons Change,Country,1/12/2018,Scotty McCreery,,,
I'm Sprung,3:51,Rappa Ternt Sanga,Hip Hop/Rap,8/9/2005,T-Pain,,,
Animals,3:51,V (Deluxe),Pop,8/25/2014,Maroon 5,,,
Break Up in a Small Town,3:51,Montevallo,Country,8/12/2014,Sam Hunt,,,
God Taught Me,3:51,God Taught Me - Single,Hip-Hop/Rap,3/24/2017,Zauntee,,,
Better Now,3:51,beerbongs & bentleys,Hip Hop/Rap,4/27/2018,Post Malone,,,
Payphone (feat. Wiz Khalifa),3:51,Overexposed (Deluxe Version),Pop,4/16/2012,Maroon 5,,,
Animal I Have Become,3:51,One-X (Deluxe Version),Rock,6/13/2006,Three Days Grace,,,
Papaoutai,3:52,Papaoutai - Single,French Pop,5/13/2013,Stromae,,,
Dollhouse,3:52,Dollhouse - EP,Alternative,2/9/2014,Melanie Martinez,,,
Tonight Looks Good on You,3:52,"Old Boots, New Dirt",Country,10/7/2014,Jason Aldean,,,
Up Down (Do This All Day) [feat. B.o.B],3:52,Up Down (Do This All Day) [feat. B.o.B] - Single,Hip Hop/Rap,8/13/2013,T-Pain,,,
Miss Independent,3:52,Year of the Gentleman (Bonus Track Version),R&B/Soul,9/2/2008,Ne-Yo,,,
Forever After All,3:52,What You See Ain't Always What You Get (Deluxe Edition),Country,10/23/2020,Luke Combs,,,
Restart,3:53,In the Lonely Hour (Drowning Shadows Edition),Pop,5/26/2014,Sam Smith,,,
This Town,3:53,This Town - Single,Pop,9/29/2016,Niall Horan,,,
Hey There Delilah,3:53,Every Second Counts,Rock,1/25/2005,Plain White T's,,,
Maybe IDK,3:53,The Human Condition,Pop,6/10/2016,Jon Bellion,,,
Notice Me (feat. Post Malone),3:54,Culture II,Hip-Hop/Rap,1/26/2018,Migos,,,
Unforgettable (feat. Swae Lee),3:54,Jungle Rules,Hip-Hop/Rap,4/7/2017,French Montana,,,
Change,3:54,The Search,Hip-Hop/Rap,7/26/2019,NF,,,
Close (feat. Tove Lo),3:54,Last Year Was Complicated,Pop,3/25/2016,Nick Jonas,,,
Cold (feat. Future),3:54,Red Pill Blues (Deluxe),Pop,11/3/2017,Maroon 5,,,
Whiskey Glasses,3:54,If I Know Me,Country,1/1/2016,Morgan Wallen,,,
Hey Baby (Drop It to the Floor) [feat. T-Pain],3:54,Planet Pit (Deluxe Version),Pop,9/17/2010,Pitbull,,,
I Lived,3:55,Native,Pop,3/25/2013,OneRepublic,,,
Raging Fire,3:55,Behind the Light (Deluxe Version),Pop,11/19/2012,Phillip Phillips,,,
Freek-A-Leek,3:55,Still Writing In My Diary: 2nd Entry,Hip-Hop/Rap,12/16/2003,Petey Pablo,,,
Hey Ya! (Radio Mix/Club Mix),3:55,Speakerboxxx / The Love Below,Hip Hop/Rap,9/23/2003,Outkast,,,
Sugar,3:56,V (Deluxe),Pop,9/2/2014,Maroon 5,,,
Here Without You,3:56,The Greatest Hits,Rock,11/12/2002,3 Doors Down,,,
Conversations in the Dark,3:56,Bigger Love,R&B/Soul,1/10/2020,John Legend,,,
Final Song,3:56,Final Song - Single,Pop,5/13/2016,MØ,,,
The Climb,3:56,Hannah Montana: The Movie (Original Motion Picture Soundtrack),Soundtrack,3/5/2009,Hannah Montana,,,
Take You There,3:57,Sean Kingston,Hip Hop/Rap,7/31/2007,Sean Kingston,,,
7 Years,3:57,Lukas Graham,Pop,,Lukas Graham,,,
Amnesia,3:58,5 Seconds of Summer (Bonus Track Version),Pop,6/27/2014,5 Seconds of Summer,,,
Life Is Good (feat. Drake),3:58,Life Is Good (feat. Drake) - Single,Hip-Hop/Rap,1/10/2020,Future,,,
Wait On Me,3:58,Let the Road,Pop,3/2/2014,Rixton,,,
Just a Dream,3:58,Just a Dream - Single,Hip Hop/Rap,8/16/2010,Nelly,,,
Chicken Fried,3:58,The Foundation (Deluxe Version),Country,6/16/2008,Zac Brown Band,,,
Talking Body,3:58,Queen of the Clouds,Alternative,9/24/2014,Tove Lo,,,
Burning Man (feat. Brothers Osborne),3:58,The Mountain,Country,6/8/2018,Dierks Bentley,,,
Bartender (feat. Akon),3:59,Epiphany (Expanded Edition),R&B/Soul,6/5/2007,T-Pain,,,
Rules of Beautiful,3:59,Faces On Film,Singer/Songwriter,10/1/2015,Jacob Whitesides,,,
Dusk Till Dawn (feat. Sia) [Radio Edit],3:59,Dusk Till Dawn (feat. Sia) [Radio Edit] - Single,Pop,9/8/2017,ZAYN,,,
Cry Baby,3:59,Cry Baby (Deluxe Edition),Alternative,8/14/2015,Melanie Martinez,,,
I'm Not the Only One,3:59,In the Lonely Hour,Pop,5/26/2014,Sam Smith,,,
Lucid Dreams,4:00,Goodbye & Good Riddance,Hip-Hop/Rap,6/15/2017,Juice WRLD,,,
I Want You to Know (feat. Selena Gomez),4:00,True Colors,Dance,2/23/2015,Zedd,,,
It Was Always You,4:00,V (Deluxe),Pop,9/2/2014,Maroon 5,,,
Remember This,4:00,Perception,Hip-Hop/Rap,10/6/2017,NF,,,
Sweater Weather,4:00,I Love You.,Alternative,12/3/2012,The Neighbourhood,,,
Stay (feat. Mikky Ekko),4:01,Unapologetic (Deluxe Version),Pop,11/19/2012,Rihanna,,,
Five More Minutes,4:01,Seasons Change,Country,5/5/2017,Scotty McCreery,,,
Beautiful Girls,4:02,Sean Kingston,Hip Hop/Rap,5/26/2007,Sean Kingston,,,
drivers license,4:02,drivers license - Single,Pop,1/8/2021,Olivia Rodrigo,,,
Make Me (Cry) [feat. Labrinth],4:02,Make Me (Cry) [feat. Labrinth] - Single,Pop,11/15/2016,Noah Cyrus,,,
The Hills,4:02,Beauty Behind the Madness,R&B/Soul,5/27/2015,The Weeknd,,,
In a Dream (Freestyle Mix),4:02,In a Dream - EP,Dance,5/16/1997,Rockell,,,
Just Give Me a Reason (feat. Nate Ruess),4:03,The Truth About Love,Pop,9/14/2012,P!nk,,,
Take Your Time,4:03,Montevallo,Country,10/26/2014,Sam Hunt,,,
Fire Burning,4:03,Fire Burning - Single,Pop,4/24/2009,Sean Kingston,,,
Story of My Life,4:03,Midnight Memories (Deluxe Edition),Pop,10/28/2013,One Direction,,,
Big Gangsta,4:03,Only the Generals Gon Understand - EP,Hip-Hop/Rap,5/17/2019,Kevin Gates,,,
Here Comes Goodbye,4:04,Unstoppable,Country,3/10/2009,Rascal Flatts,,,
Greenlight (feat. Flo Rida & LunchMoney Lewis),4:04,Greenlight (feat. Flo Rida & LunchMoney Lewis) - Single,Pop,7/22/2016,Pitbull,,,
Molly (feat. Brendon Urie),4:04,Professional Rapper,Hip-Hop,7/31/2015,Lil Dicky,,,
ILYSB (STRIPPED),4:05,Make Out - EP,Alternative,12/11/2015,LANY,,,
Freek-A-Leek Remix (feat. Twista and Jermaine Dupri),4:05,Kamikaze (Bonus Track Version),Hip-Hop/Rap,1/27/2004,Twista,,,
Die For Me (feat. Future & Halsey),4:05,Hollywood's Bleeding,Hip-Hop/Rap,9/6/2019,Post Malone,,,
Superheroes,4:05,No Sound Without Silence,Pop,7/22/2014,The Script,,,
Closer (feat. Halsey),4:06,Collage - EP,Dance,,The Chainsmokers,,,
It's Strange (feat. K.Flay),4:06,It's Strange (feat. K.Flay) - Single,Electronica,9/9/2015,Louis The Child,,,
I Don’t Wanna Live Forever (Fifty Shades Darker),4:06,Fifty Shades Darker (Original Motion Picture Soundtrack),Soundtrack,12/9/2016,Various Artists,,,
Fire on Fire,4:07,Fire on Fire - Single,Pop,12/21/2018,Sam Smith,,,
Toosie Slide,4:07,Toosie Slide - Single,Hip-Hop/Rap,4/3/2020,Drake,,,
Say It First,4:08,The Thrill of It All (Special Edition),Pop,11/3/2017,Sam Smith,,,
U Got It Bad,4:08,0:00,R&B/Soul,8/7/2001,Usher,,,
We Still In This Bitch (feat. T.I. & Juicy J),4:08,Underground Luxury,Hip Hop/Rap,1/8/2013,B.o.B,,,
The Search,4:08,The Search - Single,Hip-Hop/Rap,5/30/2019,NF,,,
Funky Cold Medina,4:08,Loc-ed After Dark (Expanded Edition),Hip Hop/Rap,1/1/1989,Tone-Loc,,,
My Wish,4:08,Me and My Gang (Bonus Track Version),Pop,4/4/2006,Rascal Flatts,,,
18,4:08,FOUR (The Ultimate Edition),Pop,11/17/2014,One Direction,,,
Dollhouse (Jai Wolf Remix),4:09,Dollhouse (The Remixes) - EP,Alternative,7/22/2014,Melanie Martinez,,,
Mystery of Love,4:09,Call Me By Your Name (Original Motion Picture Soundtrack),Soundtrack,11/3/2017,Various Artists,,,
Often,4:09,Beauty Behind the Madness,R&B/Soul,7/31/2014,The Weeknd,,,
Don't Take the Girl,4:10,Greatest Hits,Country,3/22/1994,Tim McGraw,,,
1-800-273-8255 (feat. Alessia Cara & Khalid),4:10,Everybody,Hip Hop/Rap,,Logic,,,
Where Are Ü Now (with Justin Bieber),4:10,Skrillex and Diplo Present Jack Ü,Dance,2/27/2015,Skrillex & Diplo,,,
Yeah! (feat. Lil Jon & Ludacris),4:10,Confessions,R&B/Soul,1/27/2004,Usher,,,
Earned It (Fifty Shades of Grey),4:11,Fifty Shades of Grey (Original Motion Picture Soundtrack),Soundtrack,12/23/2014,Various Artists,,,
JUST LIKE YOU,4:11,CLOUDS (THE MIXTAPE),Hip-Hop/Rap,3/26/2021,NF,,,
Thunder / Young Dumb & Broke (Medley),4:11,Thunder / Young Dumb & Broke (Medley) - Single,Alternative,12/20/2017,Imagine Dragons & Khalid,,,
Give It All We Got Tonight,4:11,Love Is Everything,Country,10/29/2012,George Strait,,,
MAMACITA,4:11,Translation,Pop,4/9/2020,Black Eyed Peas,,,
I Don't Mind (feat. Juicy J),4:12,I Don't Mind (feat. Juicy J) - Single,R&B/Soul,11/21/2014,Usher,,,
Modern Loneliness,4:12,~How I'm Feeling~,Pop,2/20/2020,Lauv,,,
My Stress,4:13,The Search,Hip-Hop/Rap,7/26/2019,NF,,,
Let Her Go,4:13,All the Little Lights,Singer/Songwriter,2/24/2012,Passenger,,,
For the First Time,4:13,Science & Faith (Bonus Track Version),Pop,8/20/2010,The Script,,,
Alphabet Boy,4:13,Cry Baby (Deluxe Edition),Alternative,8/14/2015,Melanie Martinez,,,
Lay Me Down,4:13,In the Lonely Hour,Pop,2/15/2013,Sam Smith,,,
Young Forever (feat. Mr Hudson),4:14,The Blueprint 3,Hip-Hop/Rap,9/8/2009,JAY-Z,,,
Good Life,4:14,Waking Up,Pop,11/17/2009,OneRepublic,,,
Let Me Love You (Until You Learn to Love Yourself),4:14,Let Me Love You (Until You Learn to Love Yourself) - Single,R&B/Soul,7/10/2012,Ne-Yo,,,
Right Back (feat. A Boogie wit da Hoodie),4:15,Right Back (feat. A Boogie wit da Hoodie) - Single,R&B/Soul,8/2/2019,Khalid,,,
Rockstar,4:15,All the Right Reasons,Rock,9/26/2005,Nickelback,,,
Cop Car,4:17,Fuse,Country,9/10/2013,Keith Urban,,,
Elastic Heart,4:17,1000 Forms of Fear,Pop,7/4/2014,Sia,,,
Feeling Whitney,4:17,Stoney (Deluxe),Hip-Hop/Rap,12/9/2016,Post Malone,,,
Counting Stars,4:17,Native,Pop,3/25/2013,OneRepublic,,,
Therapy,4:18,American Teen,R&B/Soul,3/3/2017,Khalid,,,
She Will Be Loved,4:18,Songs About Jane,Vocal,6/25/2002,Maroon 5,,,
Wonderwall (Remastered),4:19,(What's The Story) Morning Glory? [Deluxe Remastered Edition],Indie Rock,10/2/1995,Oasis,,,
Unwritten,4:19,Unwritten,Pop,9/6/2004,Natasha Bedingfield,,,
Love In This Club (feat. Young Jeezy),4:20,Here I Stand (Deluxe Version),R&B/Soul,2/22/2008,Usher,,,
Drops of Jupiter,4:20,Drops of Jupiter,Rock,2/20/2001,Train,,,
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",4:20,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo) - Single",Hip-Hop/Rap,7/27/2018,DJ Khaled,,,
Switch Up (feat. Big Rod),4:20,Switch Up (feat. Big Rod) - Single,Hip Hop/Rap,7/12/2016,Toni Romiti,,,
No Guidance (feat. Drake),4:21,Indigo (Extended),R&B/Soul,6/12/2019,Chris Brown,,,
Bad Liar,4:21,Origins (Deluxe),Alternative,11/9/2018,Imagine Dragons,,,
Breakeven (Falling to Pieces),4:21,The Script,Pop,8/8/2008,The Script,,,
Talladega,4:22,The Outsiders,Country,2/11/2014,Eric Church,,,
American Soldier,4:22,Shock 'n Y'all,Country,11/4/2003,Toby Keith,,,
OTW,4:23,OTW - Single,R&B/Soul,4/20/2018,"Khalid, 6LACK & Ty Dolla $ign",,,
Love the Way You Lie (feat. Rihanna),4:23,Recovery (Deluxe Edition),Hip-Hop/Rap,6/18/2010,Eminem,,,
Wild Thing,4:24,Loc-ed After Dark (Expanded Edition),Hip Hop/Rap,1/1/1989,Tone-Loc,,,
Zydeco Train,4:26,Zydeco Train,Hip Hop/Rap,12/27/2005,Travis Matte and the Zydeco Kingpins,,,
We Rise,4:26,We Rise - Single,Dance,2/15/2015,San Holo,,,
Little Talks,4:27,My Head Is An Animal,Alternative,9/20/2011,Of Monsters and Men,,,
Car Radio,4:28,Vessel,Alternative,7/8/2011,twenty one pilots,,,
Pills N Potions,4:28,The Pinkprint (Deluxe Version),Hip Hop/Rap,5/21/2014,Nicki Minaj,,,
Ms. Jackson,4:31,Stankonia,Hip Hop/Rap,10/3/2000,Outkast,,,
Where Is the Love?,4:33,Elephunk,Pop,6/16/2003,Black Eyed Peas,,,
"Tko (feat. J Cole, A$AP Rocky & Pusha T) [Black Friday Remix]",4:33,"Tko (feat. J Cole, A$AP Rocky & Pusha T) [Black Friday Remix] - Single",Pop,12/11/2013,Justin Timberlake,,,
You Say,4:35,Look Up Child,Christian,7/13/2018,Lauren Daigle,,,
Lost Boy,4:36,Safe Haven,Singer/Songwriter,2/12/2015,Ruth B.,,,
Life Is a Highway,4:36,"Greatest Hits, Vol. 1 (Remastered)",Country,10/11/2006,Rascal Flatts,,,
Rake It Up (feat. Nicki Minaj),4:36,I Still Am,Hip Hop/Rap,6/2/2017,Yo Gotti,,,
I Will Wait,4:37,Babel,Alternative,8/7/2012,Mumford & Sons,,,
Perfect,4:37,"No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)",Rock,3/19/2002,Simple Plan,,,
Me So Horny,4:38,The 2 Live Crew's Greatest Hits,Hip Hop/Rap,10/6/1992,The 2 Live Crew,,,
Studio (feat. BJ the Chicago Kid),4:38,Oxymoron,Hip Hop/Rap,2/25/2014,ScHoolboy Q,,,
Rocket Man (I Think It's Going To Be a Long Long Time) [Remastered],4:42,Diamonds (Deluxe),Pop,1/1/1972,Elton John,,,
Scream & Shout (feat. Britney Spears),4:42,#willpower (Deluxe),Pop,11/20/2012,will.i.am,,,
Cry Me a River,4:48,Justified,Pop,11/5/2002,Justin Timberlake,,,
TKO (Radio Edit),4:49,TKO (Radio Edit) - Single,Pop,9/20/2013,Justin Timberlake,,,
Dilemma (feat. Kelly Rowland),4:49,Nellyville,Hip-Hop/Rap,6/25/2002,Nelly,,,
Ride Wit Me (feat. City Spud),4:50,Country Grammar,Hip-Hop/Rap,6/27/2000,Nelly,,,
Black Beatles (feat. Gucci Mane),4:52,SremmLife 2 (Deluxe),Hip Hop/Rap,8/12/2016,Rae Sremmurd,,,
All the Way Turnt Up,4:55,All the Way Turnt Up (feat. Soulja Boy Tell'em) - Single,Hip Hop/Rap,1/1/2010,Roscoe Dash,,,
The Judge,4:58,Blurryface,Alternative,5/17/2015,twenty one pilots,,,
Animals,5:04,Gold Skies - EP,Dance,7/8/2014,Martin Garrix,,,
Welcome to the Black Parade,5:11,The Black Parade,Alternative,10/23/2006,My Chemical Romance,,,
Slippery (feat. Gucci Mane),5:12,Culture,Hip-Hop,1/27/2017,Migos,,,
SICKO MODE,5:13,ASTROWORLD,Hip-Hop/Rap,8/21/2018,Travis Scott,,,
The Room Where It Happens,5:18,Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,9/25/2015,Lin-Manuel Miranda,,,
How Could You Leave Us,5:23,Therapy Session,Hip-Hop/Rap,4/22/2016,NF,,,
